track,order,tempo_bpm,beats,onset_env_mean,mfcc_mean,mfcc_std,mfcc_max,centroid_mean,centroid_std,centroid_max,bandwidth_mean,bandwidth_std,bandwidth_max,rms_mean,rms_std,rms_max,danceability,key_strength,inharmonicity,tempo_rnn,downbeat_conf,pitch_std,drum_rms,beat_fscore,spec_rough,spec_flat,vgg0,vgg1,vgg2,vgg3,vgg4,vgg5,vgg6,vgg7,vgg8,vgg9,vgg10,vgg11,vgg12,vgg13,vgg14,vgg15,vgg16,vgg17,vgg18,vgg19,vgg20,vgg21,vgg22,vgg23,vgg24,vgg25,vgg26,vgg27,vgg28,vgg29,vgg30,vgg31,vgg32,vgg33,vgg34,vgg35,vgg36,vgg37,vgg38,vgg39,vgg40,vgg41,vgg42,vgg43,vgg44,vgg45,vgg46,vgg47,vgg48,vgg49,vgg50,vgg51,vgg52,vgg53,vgg54,vgg55,vgg56,vgg57,vgg58,vgg59,vgg60,vgg61,vgg62,vgg63,vgg64,vgg65,vgg66,vgg67,vgg68,vgg69,vgg70,vgg71,vgg72,vgg73,vgg74,vgg75,vgg76,vgg77,vgg78,vgg79,vgg80,vgg81,vgg82,vgg83,vgg84,vgg85,vgg86,vgg87,vgg88,vgg89,vgg90,vgg91,vgg92,vgg93,vgg94,vgg95,vgg96,vgg97,vgg98,vgg99,vgg100,vgg101,vgg102,vgg103,vgg104,vgg105,vgg106,vgg107,vgg108,vgg109,vgg110,vgg111,vgg112,vgg113,vgg114,vgg115,vgg116,vgg117,vgg118,vgg119,vgg120,vgg121,vgg122,vgg123,vgg124,vgg125,vgg126,vgg127,rms_halfspeed,pitch_jitter,popularity,duration_min
Out Of The Woods (Taylor's Version).wav,11,92.28515625,45,0.721850812,1.266623855,43.61526108,126.2567749,1394.061082,230.9005758,2081.266421,1392.291734,106.9359459,1929.101061,0.132100031,0.031716503,0.211943805,1.02338016,0.954598725,0.256778002,92.28515625,0.976149803,18.85983974,0.009764045,0.903790087,73296.70104,0.024686409,185.38248,21.70518,148.80478,136.9522,216.0757,64.91235,102.24303,79.258965,117.86056,128.72908,137.75697,77.11554,153.56972,145.7251,97.9004,65.67729,147.27888,137.32271,105.05976,163.54582,63.358566,223.33466,86.749,78.896416,68.11952,164.21513,152.89243,145.68526,150.502,165.98009,148.79283,137.91235,101.780876,133.81673,74.73705,137.50996,128.72112,127.63347,152.80876,85.007965,146.74901,168.99602,35.370518,140.83267,131.75299,143.58566,111.36255,113.123505,63.103584,169.55777,164.97609,99.06374,88.71315,166.66534,102.40637,126.80478,157.33466,35.99203,90.896416,152.34264,196.9243,135.05179,82.22709,166.49402,179.91235,161.3984,171.11156,70.03984,155.4263,90.73705,142.54582,159.17131,207.65338,196.69322,82.9004,137.0757,119.98406,186.39442,163.70518,91.98008,100.86454,185.88048,129.93625,159.57768,86.94422,120.00398,168.49402,195.14343,135.65338,96.90438,71.32669,94.12749,143.10359,206.57768,87.03586,183.5737,75.219124,81.9761,197.90837,108.33068,228.47012,115.494026,145.10757,104.93626,48.56972,215.85258,117.780876,177.38248,177.79283,183.74104,117.60956,221.88048,75.62948,145.78088,141.5259,101.08765,164.59761,166.61752,58.326694,100.30279,186.48207,157.11952,144.27888,143.0478,231.0996,122.33466,82.26295,255,0.069092065,39.76466324,73,3.93
Say Don't Go (Taylor's Version) (From The Vault).wav,12,73.828125,37,0.72302562,-6.210142136,71.85228729,155.815918,994.2079428,260.2466754,2121.786667,1137.816196,144.028763,1687.745252,0.096365474,0.045380764,0.192102998,0.932982922,0.937424302,0.241810173,109.9567819,0.961238227,133.0590011,0.00895291,0.856589147,78181.34288,0.021272691,188.67677,21.255892,163.72728,126.3165,210.90573,65.96633,131.90909,89.3367,95.579124,98.9798,149.98653,69.45792,178.11447,171.54208,88.377106,81.11448,150.00337,149.85185,96.05051,174.48148,72.90572,213.57239,82.60269,79.81481,53.131313,136.3468,171.99663,161.28957,163.20538,140,139.46465,142.43434,86.828285,127.367004,58.811447,117.57239,128.60606,135.20203,162.46465,115.92593,144.59259,175.50505,55.81818,151.16498,173.38383,143.50842,116.54208,111.45118,59.808083,176.9798,172.13132,60.70707,84.83165,169.76431,93.23232,149.9495,173.73738,28.535353,96.003365,161.27272,190.45454,182.75421,43.49158,129.58249,207.44107,163.51515,166.79124,103.37037,141.69698,56.42761,104.02357,172.69698,222.0101,183.87206,97.508415,90.28283,121.74074,192.15825,156.14478,83.09428,111.23906,167.09091,170.93266,152.84848,99.92256,136.3771,143.15152,196.87543,146.03368,77.35017,43.39394,82.42761,148.75084,213.47812,91.3266,154.49495,100.888885,57.37037,176.41751,91.02694,237.73064,109.57239,195.97307,137.04713,46.0101,210.3165,116.19529,199.28282,180.47137,195.84848,88.71717,222.0303,59.286194,144.6633,157.93266,121.757576,174.30302,112.383835,46.22896,87.06734,226.81482,128.41751,163.59259,96.208755,239.56566,77.59933,48.00337,255,0.059050277,28.36182644,73,4.66
Shake It Off (Taylor's Version).wav,13,161.4990234,73,0.856974721,-0.326746315,42.33824921,90.15252686,1607.510637,312.1437543,2829.68309,1414.454314,135.2300199,1900.119319,0.136466518,0.037586339,0.221950009,1.064859986,0.871579051,0.242903367,79.50721154,0.973768291,123.6229063,0.019428408,0.953386104,127932.557,0.024736872,190.77254,19.566525,153.18456,137.6309,211.74678,89.08154,104.02146,64.80687,119.90558,119.61803,121.93991,72.090126,177.24034,132.88841,77.8412,70.6309,144.27898,151.6352,116.93562,177.4721,55.3691,222.48068,102.36051,77.922745,60.751072,175.03004,157.96138,145.33047,150.20601,144.24893,129.75537,168.42918,113.75966,145.81116,74.75966,127.54507,134.38197,124.85837,174.90987,76.62661,170.0558,157.78111,35.527897,146.22318,163.90987,129.1588,99.429184,100.55365,36.44206,145.43777,148.81116,77.93133,89.55794,172.96996,72.90558,122.06009,165.11588,53.785408,67.596565,185.17168,214.8498,154.22318,71.20601,182.85408,203.22318,146.42918,204.75966,59.356224,138.92274,112.30901,128.34764,137.88412,202.3176,174.46352,90.30472,130.87982,98.875534,227.8412,157.3734,74.00858,67.43348,198.14163,190.32188,188.30043,74.175964,132.59657,154.4764,213.43777,172.14163,126.76395,86.75966,82.93133,139.03433,209.19742,94.8455,200.6352,29.309013,57.74678,223.12018,109.74678,202.14592,64.283264,148.70816,86.03863,24.62661,209.5322,121.017166,207.66095,193.66524,169.03862,97.07296,229.38197,61.87983,126.96567,106.56223,115.04721,165.51932,163.18884,78.48069,146.65665,158.64378,169.87125,141.91417,151.22746,226.59227,93.004295,110.95279,255,0.069380753,38.66600125,73,3.65
Style (Taylor's Version).wav,14,95.703125,44,0.911433637,1.87615633,50.505867,135.8557434,1149.071769,238.8075612,1878.82704,1346.403879,146.9170223,1755.830274,0.154940665,0.021870943,0.21211645,0.953595817,0.896240532,0.257790536,95.703125,0.947015742,80.82999612,0.01263711,0.430555556,86152.04908,0.027027205,190,16.048979,143.61633,125.36735,211.27347,85.01633,119.95102,80.32653,122.55102,114.661224,137.99593,73.88163,165.68979,168.1796,81.457146,73.50204,160.7347,152.58775,93.52653,147.00407,56.808163,236.05305,93.4,96.265305,57.408165,139.4449,173.2898,151.30205,150.67755,141.2,143.19592,144.14694,106.26122,123.87755,74.16327,145.66531,120.72653,118.338776,175.70204,91.82041,151.83673,187.51837,53.27755,157.10204,133.68571,157.12245,106.92653,114.64898,54.97959,148.11836,162.09796,92.46531,112.24898,176.37143,108.00408,106.53061,159.48979,44.791836,82.97959,172.23674,183.05305,162.6245,87.8,197.65715,194.97551,181.63673,165.21632,66.99592,164.57959,113.06939,132.0204,133.90204,217.40408,186.83673,64.734695,105.710205,134.83673,212.49388,161.4449,75.46123,110.79184,201.2653,217.67346,177.8898,98.82041,164.6245,181.32654,219.38776,153.49796,113.20816,100.62449,86.89796,158.51021,203.43265,82.76327,174.50612,62.29796,30.951021,216.13062,120.97959,185,60.506123,165.0898,57.22449,70.963264,228.80817,155.08571,214.90613,177.21225,163.59184,70.37143,217.99184,90.06531,99.53061,177.41225,122.057144,143.07347,127.66939,87.07755,136.50204,184.75919,198.71428,75.29796,113.75102,214.25714,68.09796,55.62449,255,0.083447486,14.13965807,78,3.85
Suburban Legends (Taylor's Version) (From The Vault).wav,15,117.4538352,60,0.802443266,-1.069615364,52.77932739,177.9023895,1173.651992,226.784757,2069.401843,1250.134179,133.314367,1832.161039,0.123086251,0.02936735,0.203283206,1.216475248,0.941159904,0.182850093,117.4538352,0.954544578,37.95525331,0.014856108,0.582352941,138249.7362,0.036148038,189.39674,18.85326,162.20108,119.527176,213.08153,98.79891,126.20652,85.58152,120.36413,112.61957,155.58153,92.059784,154.22826,185.48369,82.40761,75.61957,154.09239,165.59239,104.603264,169.90218,54.010868,229.64131,80.429344,95.804344,51.83152,142.71196,190.07065,169.96739,148.71739,135.30978,138.04347,155.28261,92.34239,132.84782,91.304344,134.43478,129.06522,137.46196,182.07608,109.61957,160.55435,184.98369,65.88043,159.07065,163.46196,161.20108,121.554344,125.96739,76.13587,167.46739,163.86957,54.842392,99.695656,171.23369,113.065216,120.66304,165.15761,36.233696,116.57609,172.16847,195.80978,168.52718,55.358696,174.90218,206.54347,178.80978,181.57065,88.983696,172.67392,80.146736,129.33153,164.78804,219.92392,189.96196,71.271736,109.51087,132.70108,206.18478,115.434784,63.994564,113.86957,183.51086,180.45653,152.78261,106.125,162.28261,141.01631,190.84782,144.88043,99.152176,80.28261,110.902176,149.80435,210.13043,100.58696,138.60869,38.092392,44.29348,218.58153,114.521736,195.25,127.11413,176.15218,64.809784,52.02174,230.11414,155.38043,242.86957,207.28261,167.67392,69.184784,207.26631,47.184784,103.440216,174.26086,141.16847,85.99457,99.28804,92.16848,112.23913,204.69565,159.88586,75.54348,106.24457,212.82065,51.02174,30.777174,255,0.057795156,51.40313218,69,2.86
This Love (Taylor_s Version).wav,16,71.77734375,36,0.775687933,-10.46572495,64.83448792,132.1340027,1387.939677,385.5077179,2912.830114,1468.011148,168.0180412,1936.126582,0.088414051,0.032776032,0.17720516,0.992405593,0.92881918,0.386160821,71.77734375,0.924376322,51.55519656,0.008381563,0.798634812,88229.2407,0.000690598,188.9144,18.533073,163.29572,113.74319,205.66537,78.04669,144.22568,103.89494,106.27238,121.9144,143.7004,60.673153,169.49026,179.32684,91.5642,104.44747,131.20622,151.2179,101.303505,156.54475,52.984436,213.09338,81.36965,79.71595,59.4786,148.4747,170.72374,180.84047,174.56032,145.13618,121.49027,137.9572,100.52529,128.55254,58.4358,141.57977,134.08171,109.84047,147.1712,127.15953,134.70818,189.12062,44.40856,186.7432,134.36964,142.98055,130.50195,114.27238,64.61089,164.37743,155.59923,65.984436,88.63424,160.81323,122.44747,134.63425,199.8288,31.856031,143.6109,166.46692,189.14008,150.30739,44.976654,174.97276,162.3891,177.42412,169.94164,113.93385,144.90662,106.40078,96.96109,162.62646,219.67316,206.6965,98.28405,95.23346,114.52529,196.07393,147.46692,99.83658,133.36186,204.84825,169.75487,160.04669,81.45136,138.92607,151.61868,202.27237,120.859924,105.097275,80.21011,85.94942,144.01556,176.81712,73.16342,157.16731,70.4358,25.770428,170.7821,95.9572,219.85214,106.32296,180.14397,111.84047,77.70817,187.0428,135.92218,224.45525,183.92607,193.25291,91.54475,215.92607,63.40856,101.575874,154.53697,117.66537,117.94942,103.303505,40.77432,96.72373,201.56421,142.27626,114.5214,102.99222,214.19844,37.642025,77.01167,255,0.057581708,16.38906712,70,4.17
Welcome To New York (Taylor's Version).wav,17,117.4538352,52,0.928191304,0.839576125,50.2132225,143.8829041,1403.221739,312.8750801,2107.007722,1408.10716,132.9238503,1984.633347,0.13812606,0.031277515,0.226456687,1.053837538,0.908259511,0.28875792,117.4538352,0.975156379,127.7637251,0.014552675,0.965686275,114684.9816,0.029286943,189.4823,14.778761,147.34514,133.01328,207.03983,97.79204,105.64602,63.924778,132.18584,118.42036,157.69469,71.61062,171.55753,144.70354,79.40708,58.084072,150.37169,145.61063,110.358406,170.30531,65.42036,243.56195,83.12389,96.4646,67.61062,177.90707,174.61063,124.4469,172.40707,124.942474,151.20354,152.81859,100.88938,114.942474,83.08407,110.40266,135.64601,136.78319,169.5708,77.24779,162.49557,185.93805,62.20354,164.5885,169.39822,142.07965,134.35399,102.91151,65.66372,155.3938,157.19469,89.80974,92.60619,156.80531,96.41151,120.004425,166.28319,56.030975,88.62832,152.84514,205.32744,145.45132,72.38938,195.22566,204.39822,146.29646,213.67256,53.486725,140.15486,105.632744,128.92035,156.99115,203.92035,198.0708,61.827435,132.69026,126.30974,208.63274,159.71239,72.26549,96.548676,176.43805,220.68584,179.68584,85.60177,153.23451,145.55753,221.79204,176.64159,138.07523,86.78761,102.30089,124.78319,200.47787,68.20354,154.5531,37.11947,53.35398,222.40265,141.41592,182.15929,52.318584,147.25221,58.721237,39.446903,215.44247,165.4469,231.59735,197.02213,203.75221,97.057526,215.34514,97.150444,103.09292,113.39381,165.58408,111.0531,145.02655,106.38938,179.76991,188.73894,175.11948,63.99115,137.49115,223.80974,62.884956,101.168144,255,0.070195742,23.06194027,70,3.54
Wildest Dreams (Taylor's Version).wav,18,143.5546875,69,0.682125211,0.509906173,53.82141495,117.4803848,1338.759076,298.2326645,3282.792154,1347.063778,117.5114733,1823.100017,0.122395851,0.042295646,0.219807461,1.176006913,0.933726728,0.25392285,139.6748311,0.936271237,125.6418267,0.014003183,0.670870113,109926.4228,0.034298517,187.6,14.26383,137.70213,131.74893,210.3149,75.60851,109.40851,76.36596,116.47659,94.08936,164.91064,55.059574,183.4298,144.52766,83.008514,59.19149,152.08511,150.11916,103.80851,168.71915,96.55319,241.53616,97.53617,98.54468,55.229786,145.02127,176.2766,136.82979,184.10638,127.8,144.86809,144.05957,96.15319,117.88085,49.04681,130.91914,126.98298,116.6,159.08086,100.314896,146.50638,181.82979,56.157448,171.8468,116.61276,123.15319,125.46809,121.19575,65.76596,162.20851,171.69362,93.9234,135.97873,138.10213,86.84681,131.51064,159.21277,29.595745,84.06383,143.29361,176.9234,145.79575,76.86383,178.78723,194.27234,162.9617,194.53192,76.76596,112.008514,108.39149,122.66808,165.97873,206.05531,178.31064,62.05532,114.893616,147.61702,168.55319,189.70213,69.49787,84.81277,186.65106,226.32765,137.06383,87.44681,158.20425,152.26382,233.97021,163.26382,140.38724,44.18298,71.84255,145.25957,183.44681,58.923405,119.53191,93.587234,61.885105,221.31064,112.19575,231.42554,29.259575,170.85957,93.11489,67.77447,230.62553,166.44681,225.3915,171.95319,205.74043,148.2,209.20851,146.95319,135.35745,144.5702,103.876595,177.17873,154.2383,63.242554,116.80851,194.40851,175.42554,103.302124,132.19574,245.75745,86.05106,74.79149,255,0.060411066,16.78401227,78,3.67
Wonderland (Taylor's Version).wav,19,92.28515625,45,0.810990274,-3.00612545,48.08661652,99.51287079,1611.196887,256.342633,2587.554713,1501.688128,124.1953791,1925.958795,0.122429639,0.045904417,0.229340941,0.986222327,0.940883398,0.245186463,123.046875,0.905200798,102.6371143,0.010919763,0.321253673,106065.0751,0.02560295,188.52107,17.318008,147.4253,133.7931,206.5977,73.77012,107.22988,68.574715,111.413795,98.21839,139.56705,56.363983,171.9272,157.48276,80.55173,61.91954,152.29118,152.03065,104.39847,153.22989,85.27586,242.41762,91.24521,95.17625,48.471264,173.34866,166.58238,133.44061,177.65134,137.31801,135.89272,144.34866,103.47127,121.38314,63.16092,135.33333,126.425285,117.67816,159.93486,73,154.57088,169.7203,48.05364,150.75479,123.83525,130.17241,127.59387,126,60.452106,152.82759,175.06514,86.64368,116.14942,136.44444,94.44827,120.89655,176.82376,37.800766,78.5249,160.12643,190.61302,129.21838,84.3295,189.0498,179.0728,152.26437,188.29501,77.950195,130.64368,121.09962,128.03065,134.34483,192.43678,180.3295,72.5364,107.965515,132.4253,190.29884,176.49808,78.0115,71.21456,176.82759,184.0498,165.05363,82.203064,119.18008,161.09195,220.58621,162.69348,138.32567,75.804596,61.94636,148.78928,165.83908,94.82758,147.76245,57.95402,75.961685,219.35632,129.55556,213.54407,48.827587,159.05746,78.885056,45.904213,207.58238,177.61302,219.39847,154.94637,202.98468,143.29884,202.47127,82.85824,146.33716,136.89272,113.97701,171.84291,150.29501,61.203064,142.95403,191.42146,193.98468,125.14176,147.977,223.26437,90.82375,110.36398,255,0.060525987,24.77269548,68,4.09
You Are In Love (Taylor's Version).wav,20,86.1328125,35,0.819174349,-10.98202419,67.64577484,155.1128235,1302.445284,384.360104,2782.577953,1326.266589,177.2524108,1968.110934,0.075459108,0.039011657,0.204773426,1.035867214,0.912962079,0.358762443,84.72079918,0.930025254,25.18190272,0.007124766,0.771428571,101275.2866,0.031400286,185.33922,15.568905,153.16608,119.67491,207.6219,67.65018,142.51237,101.31802,106.39576,103.39929,154.54417,59.41343,182.37102,174.50177,87.22968,95.16961,136.0318,150.93993,102.77385,157.59364,76.82686,218.45583,87.57244,78.10247,42.042404,122.201416,161.02827,167.5901,185.09894,140.9258,139.59717,141.80919,97.922264,112.25795,37.971733,127.41696,129.78445,109.69258,155.0636,127.699646,115.353355,176.0106,58.303886,167.16254,128.48056,141.72792,110.71025,120.75265,54.70318,155.00706,169.9258,80.75619,126.79152,149.81625,110.35689,140.46997,161.18729,20.618374,123.25442,157.70671,165.37456,148.6219,66.58657,144.0742,184.64664,173.68198,168.71025,109.27915,123.73852,72.89399,114.44523,183.07774,208.24028,192.97173,77.16961,87.441696,130.74559,173.46289,159.88693,77.053,118.749115,160.74911,198.71378,129.5583,80.749115,139.30742,152.9682,213.04947,140.71732,105.664314,45.236748,106.65018,151.28622,171.02827,67.08834,159.4099,105.265015,44.183746,168.6643,120.71025,231.64664,86.579506,183.9788,145.75266,69.31802,196.4735,143.91873,212.3039,175.07774,193.22968,123.54771,197.26855,85.68198,106.25442,151.93286,115.22615,182.95407,115.95053,34.73145,95.16961,214.09894,144.44524,108.28975,89.24028,233.23322,66.53004,71.35689,255,0.049456097,8.741019878,71,4.46
_Slut!_ (Taylor's Version) (From The Vault).wav,21,78.30255682,38,0.752290964,-4.99851799,67.59732819,158.0167236,1017.192751,231.6671319,2919.540628,1211.257641,151.6741844,1909.528107,0.083506249,0.028921396,0.206713453,1.171869516,0.943709016,0.252142131,156.6051136,0.970208272,59.91490759,0.007655149,0.942430704,107999.981,0.036175106,184.99481,18.658031,162.39378,118.80311,207.52332,76.9171,135.97928,92.76684,106.27461,114.80311,161.03627,85.53886,168.26425,172.82384,98.13989,76.17098,132.59586,138.6684,104.78757,170.14508,67.35751,216.03627,77.04663,88.95855,52.19689,129.32124,179.09326,183.07771,157.98445,158.96892,126.378235,142.65804,98.74612,139.16063,63.54404,131.14508,133.52332,126.331604,146.37823,132.17099,140.80312,172.01555,56.393784,179.46114,147.30052,145.88083,116.76684,133.82901,77.38342,166.96373,170.82384,73.90674,99.75648,139.5544,114.455956,134.0829,174.23834,18.31088,119.18135,167.7772,186.1658,155.71503,40.404144,131,206.23315,179.04146,167.88602,111.05181,134.93782,73.64767,114.95337,174.40933,230.88083,196.26942,76.16062,115.3057,137.97928,182.27979,146.53886,90.378235,138.47668,176.67357,180.5544,152.95337,109.96891,131.2487,129.90674,194.20726,137.69948,73.61658,68.81347,91.73575,128.81348,201.60622,79.63731,131.0829,105.89119,49.58549,165.34196,105.91192,239.87047,122.2487,178.15025,114.35233,53.569946,200.73058,125.13471,225.46632,190.30052,170.19171,90.78239,205.20207,43.222797,143.51295,178.25389,136.05699,127.89637,104.91192,65.65285,68.88083,216.84456,121.89637,127.65803,74.98446,232.63213,58.865284,51.15026,255,0.039780434,17.95574737,77,3.01
